id;grupo_uso_id;grupo_uso;grupo_uso_corto;imagen_tarjeta;recomendacion;inversion_id;inversion;ahorro_ee_id;ahorro_ee
1;5;Reduce tu consumo de equipos eléctricos;Electrodomésticos;Enchufe_on_off;Evitar el consumo stand-by;1;Nula;1;Reducción MÍNIMA del consumo menor al 5% respecto al consumo inicial.
2;5;Reduce tu consumo de equipos eléctricos;Electrodomésticos;Secadora_flecha;Reemplazar secadora convencional por una secadora con bomba de calor;3;Media;4;Reducción ALTA del consumo entre el 30% y el 50% respecto al consumo inicial.
3;5;Reduce tu consumo de equipos eléctricos;Electrodomésticos;Televisor_A+++;Cambio de tv a una más eficiente;2;Baja;3;Reducción MEDIA del consumo entre el 15% y el 30% respecto al consumo inicial.
4;5;Reduce tu consumo de equipos eléctricos;Electrodomésticos;Refrigerador_A+++;Cambio de refrigerador a uno más eficiente;3;Media;3;Reducción MEDIA del consumo entre el 15% y el 30% respecto al consumo inicial.
5;5;Reduce tu consumo de equipos eléctricos;Electrodomésticos;Enchufe_reloj;Haz más eficiente tu consumo eléctrico, revisa cuanto tiempo usas estos equipos y reduce su uso en tiempos no necesarios. ;1;Nula;3;Reducción MEDIA del consumo entre el 15% y el 30% respecto al consumo inicial.
6;5;Reduce tu consumo de equipos eléctricos;Electrodomésticos;Etiqueta_A+++;Recambia tus equipos eléctricos por equipos más eficientes;2;Baja;3;Reducción MEDIA del consumo entre el 15% y el 30% respecto al consumo inicial.
7;3;Reduce tu consumo en calefacción;Calefacción;lena_pellet;Reemplazar el calefactor a leña por calefactor a pellet;3;Media;4;Reducción ALTA del consumo entre el 30% y el 50% respecto al consumo inicial.
8;3;Reduce tu consumo en calefacción;Calefacción;bomba_de_calor;Reemplazo de sistema de calefacción por bomba de calor de alta eficiencia;4;Alta;5;Reducción MÁXIMA del consumo superior al 50% respecto al consumo inicial.
9;3;Reduce tu consumo en calefacción;Calefacción;Casa_con_flechas;Sella las infiltraciones de aire en puertas y ventanas;2;Baja;4;Reducción ALTA del consumo entre el 30% y el 50% respecto al consumo inicial.
10;3;Reduce tu consumo en calefacción;Calefacción;Casa_abrigo;Aisla térmicamente tu vivienda. Comienza por el techo, luego ventanas, muros y si es posible, el suelo.;4;Alta;5;Reducción MÁXIMA del consumo superior al 50% respecto al consumo inicial.
11;3;Reduce tu consumo en calefacción;Calefacción;Ventana_doble;Cambia tus ventanas por ventanas de doble o triple vidrio hermetico. Idealmente con marco de PVC;4;Alta;5;Reducción MÁXIMA del consumo superior al 50% respecto al consumo inicial.
12;3;Reduce tu consumo en calefacción;Calefacción;Radiador_A+++;Recambia tus equipos de calefacción por equipos más eficientes. Revisa su etiqueta de eficiencia energética. ;3;Media;3;Reducción MEDIA del consumo entre el 15% y el 30% respecto al consumo inicial.
13;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;ducha;Disminuye el tiempo en la ducha. No más de 8 minutos bastarán para una ducha eficiente. ;1;Nula;2;Reducción BAJA del consumo entre el 5% y el 15% respecto al consumo inicial.
14;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;grifería;Instala aireadores en lavaplatos, lavamanos y ducha;2;Baja;1;Reducción MÍNIMA del consumo menor al 5% respecto al consumo inicial.
15;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;lavadora;Realizar el lavado de ropa a carga completa;1;Nula;3;Reducción MEDIA del consumo entre el 15% y el 30% respecto al consumo inicial.
16;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;agua fría;Realizar el lavado de ropa con agua fría en vez de caliente;1;Nula;3;Reducción MEDIA del consumo entre el 15% y el 30% respecto al consumo inicial.
17;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;colector solar;Instalar colectores solares térmicos para el Agua Caliente Sanitaria (ACS).;3;Media;5;Reducción MÁXIMA del consumo superior al 50% respecto al consumo inicial.
18;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;bomba_de_calor;Reemplazar el calefon por una bomba de calor aire-agua;4;Alta;4;Reducción ALTA del consumo entre el 30% y el 50% respecto al consumo inicial.
19;2;Reduce tu consumo en calentar agua para ducha y cocina;Agua Caliente;estanque_A+++;Recambia tu equipo para calentar agua por uno más eficiente;3;Media;3;Reducción MEDIA del consumo entre el 15% y el 30% respecto al consumo inicial.
20;1;Reduce tu consumo en iluminación;Iluminación;Ampolleta_reloj;Haz más eficiente el consumo de iluminación solo encendiendo las luces cuando sean estrictamente necesarias;1;Nula;2;Reducción BAJA del consumo entre el 5% y el 15% respecto al consumo inicial.
21;1;Reduce tu consumo en iluminación;Iluminación;Ampolleta_led;Recambia tus ampolletas revisando su potencia (en W), luego busca unas que consuman menos, pero que mantengan la misma calidad de iluminación (en lux).;3;Media;3;Reducción MEDIA del consumo entre el 15% y el 30% respecto al consumo inicial.
22;4;Reduce tu consumo en la cocina;Cocina;Olla_presion;Cuando tengas que hacer cocciones largas utiliza una olla a presión ;2;Baja;1;Reducción MÍNIMA del consumo menor al 5% respecto al consumo inicial.
23;4;Reduce tu consumo en la cocina;Cocina;Hervidor;Utilizar termo/hervidor eléctrico;2;Baja;3;Reducción MEDIA del consumo entre el 15% y el 30% respecto al consumo inicial.
24;4;Reduce tu consumo en la cocina;Cocina;cocina_A+++;Recambia tu cocina por una más eficiente;4;Alta;4;Reducción ALTA del consumo entre el 30% y el 50% respecto al consumo inicial.
25;4;Reduce tu consumo en la cocina;Cocina;Horno_A+++;Recambia tu horno por uno más eficiente;4;Alta;4;Reducción ALTA del consumo entre el 30% y el 50% respecto al consumo inicial.
26;4;Reduce tu consumo en la cocina;Cocina;Etiqueta_A+++;Revisa la etiqueta de eficiencia energética de tus electrodomesticos de cocina y busca unos de mejor desempeño.;3;Media;3;Reducción MEDIA del consumo entre el 15% y el 30% respecto al consumo inicial.
27;6;Reduce tu consumo en ventilación y enfriamiento;Enfriamiento;Ventana_cortina;Protege tus ventanas del sol;2;Baja;4;Reducción ALTA del consumo entre el 30% y el 50% respecto al consumo inicial.
28;6;Reduce tu consumo en ventilación y enfriamiento;Enfriamiento;Casa_abrigo;Aisla térmicamente tu vivienda. Comienza por el techo, luego ventanas, muros y si es posible, el suelo.;4;Alta;5;Reducción MÁXIMA del consumo superior al 50% respecto al consumo inicial.
29;6;Reduce tu consumo en ventilación y enfriamiento;Enfriamiento;Ventana_doble;Cambia tus ventanas por ventanas de doble o triple vidrio hermetico. Idealmente con marco de PVC;4;Alta;5;Reducción MÁXIMA del consumo superior al 50% respecto al consumo inicial.
30;6;Reduce tu consumo en ventilación y enfriamiento;Enfriamiento;bomba_de_calor;Recambia tus equipos de aire acondicionado o ventilación por unos más eficientes. Revisa su etiqueta de eficiencia energética. ;3;Media;4;Reducción ALTA del consumo entre el 30% y el 50% respecto al consumo inicial.
